;IdEstacion;Nombre Estacion;Latitud;Longitud;Altura;A̱o;Mes;Dia;TMinima;TMaxima;KelvinMin;KelvinMax
0;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;1;16.7;23.9;289.85;297.05
1;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;2;16.2;23.5;289.35;296.65
2;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;3;20.1;24.3;293.25;297.45
3;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;4;17.5;24.4;290.65;297.55
4;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;5;19.8;23.9;292.95;297.05
5;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;6;18.8;24.0;291.95;297.15
6;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;7;17.5;23.6;290.65;296.75
7;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;8;17.3;23.1;290.45;296.25
8;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;9;19.2;24.9;292.35;298.05
9;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;10;19.4;24.4;292.55;297.55
10;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;11;19.4;24.0;292.55;297.15
11;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;12;20.1;25.3;293.25;298.45
12;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;13;21.3;26.1;294.45;299.25
13;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;14;19.9;24.9;293.05;298.05
14;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;15;20.7;24.3;293.85;297.45
15;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;16;21.2;24.5;294.35;297.65
16;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;17;21.4;24.5;294.55;297.65
17;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;18;20.3;25.1;293.45;298.25
18;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;19;20.9;25.2;294.05;298.35
19;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;20;19.9;25.5;293.05;298.65
20;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;21;21.7;25.9;294.85;299.05
21;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;22;19.5;24.9;292.65;298.05
22;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;23;20.4;24.7;293.55;297.85
23;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;24;18.9;26.1;292.05;299.25
24;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;25;18.5;25.6;291.65;298.75
25;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;26;20.1;25.7;293.25;298.85
26;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;27;19.4;25.5;292.55;298.65
27;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;28;19.5;25.7;292.65;298.85
28;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;29;21.1;25.4;294.25;298.55
29;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;30;20.3;25.6;293.45;298.75
30;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;31;20.3;25.4;293.45;298.55
31;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;1;19.8;26.4;292.95;299.55
32;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;2;20.3;25.8;293.45;298.95
33;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;3;19.7;25.5;292.85;298.65
34;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;4;20.1;26.1;293.25;299.25
35;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;5;21.7;26.9;294.85;300.05
36;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;6;23.1;27.7;296.25;300.85
37;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;7;21.9;27.4;295.05;300.55
38;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;8;21.6;27.1;294.75;300.25
39;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;9;21.8;29.6;294.95;302.75
40;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;10;22.8;27.7;295.95;300.85
41;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;11;21.9;26.1;295.05;299.25
42;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;12;21.3;27.1;294.45;300.25
43;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;13;19.7;25.8;292.85;298.95
44;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;14;18.8;25.7;291.95;298.85
45;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;15;19.0;25.7;292.15;298.85
46;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;16;19.5;25.9;292.65;299.05
47;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;17;20.7;26.4;293.85;299.55
48;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;18;20.1;26.3;293.25;299.45
49;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;19;21.0;26.4;294.15;299.55
50;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;20;19.0;24.9;292.15;298.05
51;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;21;17.9;24.5;291.05;297.65
52;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;22;19.8;26.1;292.95;299.25
53;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;23;19.7;25.6;292.85;298.75
54;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;24;19.9;26.1;293.05;299.25
55;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;25;19.9;26.9;293.05;300.05
56;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;26;21.1;27.1;294.25;300.25
57;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;27;21.3;26.8;294.45;299.95
58;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;28;20.7;27.2;293.85;300.35
59;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;1;20.4;26.1;293.55;299.25
60;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;2;20.0;26.1;293.15;299.25
61;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;3;20.2;25.3;293.35;298.45
62;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;4;20.3;25.0;293.45;298.15
63;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;5;20.5;26.0;293.65;299.15
64;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;6;19.9;25.4;293.05;298.55
65;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;7;19.7;25.4;292.85;298.55
66;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;8;19.6;26.1;292.75;299.25
67;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;9;20.0;24.0;293.15;297.15
68;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;10;19.9;24.6;293.05;297.75
69;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;11;19.5;25.3;292.65;298.45
70;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;12;20.2;24.6;293.35;297.75
71;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;13;19.7;24.9;292.85;298.05
72;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;14;17.8;24.2;290.95;297.35
73;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;15;16.7;23.3;289.85;296.45
74;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;16;18.7;24.4;291.85;297.55
75;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;17;16.9;23.3;290.05;296.45
76;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;18;19.7;24.9;292.85;298.05
77;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;19;17.7;24.1;290.85;297.25
78;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;20;17.5;23.7;290.65;296.85
79;180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;21;17.6;23.6;290.75;296.75
