IdEstacion;Nombre Estacion;Latitud;Longitud;Altura;A̱o;Mes;Dia;TMinima;TMaxima
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;1;16.7;23.9
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;2;16.2;23.5
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;3;20.1;24.3
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;4;17.5;24.4
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;5;19.8;23.9
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;6;18.8;24.0
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;7;17.5;23.6
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;8;17.3;23.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;9;19.2;24.9
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;10;19.4;24.4
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;11;19.4;24.0
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;12;20.1;25.3
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;13;21.3;26.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;14;19.9;24.9
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;15;20.7;24.3
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;16;21.2;24.5
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;17;21.4;24.5
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;18;20.3;25.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;19;20.9;25.2
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;20;19.9;25.5
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;21;21.7;25.9
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;22;19.5;24.9
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;23;20.4;24.7
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;24;18.9;26.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;25;18.5;25.6
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;26;20.1;25.7
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;27;19.4;25.5
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;28;19.5;25.7
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;29;21.1;25.4
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;30;20.3;25.6
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;1;31;20.3;25.4
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;1;19.8;26.4
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;2;20.3;25.8
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;3;19.7;25.5
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;4;20.1;26.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;5;21.7;26.9
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;6;23.1;27.7
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;7;21.9;27.4
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;8;21.6;27.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;9;21.8;29.6
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;10;22.8;27.7
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;11;21.9;26.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;12;21.3;27.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;13;19.7;25.8
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;14;18.8;25.7
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;15;19.0;25.7
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;16;19.5;25.9
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;17;20.7;26.4
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;18;20.1;26.3
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;19;21.0;26.4
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;20;19.0;24.9
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;21;17.9;24.5
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;22;19.8;26.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;23;19.7;25.6
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;24;19.9;26.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;25;19.9;26.9
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;26;21.1;27.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;27;21.3;26.8
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;2;28;20.7;27.2
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;1;20.4;26.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;2;20.0;26.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;3;20.2;25.3
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;4;20.3;25.0
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;5;20.5;26.0
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;6;19.9;25.4
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;7;19.7;25.4
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;8;19.6;26.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;9;20.0;24.0
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;10;19.9;24.6
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;11;19.5;25.3
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;12;20.2;24.6
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;13;19.7;24.9
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;14;17.8;24.2
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;15;16.7;23.3
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;16;18.7;24.4
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;17;16.9;23.3
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;18;19.7;24.9
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;19;17.7;24.1
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;20;17.5;23.7
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;21;17.6;23.6
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;22;17.1;23.5
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;23;19.9;24.0
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;24;16.5;23.2
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;25;16.2;22.9
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;26;16.6;24.0
180005;Chacalluta. Arica Ap.;18&deg 21' 5'' S;70&deg 20' 9'' W;63;2013;3;27;15.6;24.1
